,Etude,Statut,Acronymes,
0,METIMGAST,complet,Non, 
1,APARR,complet,Non,
2,HaploRescue,complet,Non,
3,Combination-Lock01,complet,Non,
4,RUBI,complet,Oui,
5,SHORTCUT,complet,Non,
6,FOCUS,complet,Non,
7,GRAALL-2014,complet,Oui,
8,KAPVEC,complet,Non,
9,OPTISAGE,complet,Non,
10,ALLTogether1,vide,Non,
11,HAPLO-EMPTY,complet,Non,
12,CARE,vide,Non,
13,FIRST,complet,Non,
14,JAKAHDI,complet,Non,
15,PIPAC,complet,Non,
16,EFRAIM-II,complet,Non,
17,TRIBECA,complet,Non,
18,SONIMEL,complet,Non,
19,PARADISE,complet,Oui,
20,ERYTHROSIM,complet,Non,
21,MAC-HAPLO-MUD,complet,Non,
22,MSC-AT-SSc,complet,Oui,
23,UVB,complet,Non,
24,INTOReTAK,complet,Non,
25,SALMA,complet,Non,
26,EQUAALL01,complet,Non,
27,PCL-2,complet,Oui,
28,DREPA-RIC,complet,Non,
29,FIBRAPLO,complet,Non,
30,MITHRIDATE,vide,Non,
31,CAALLF01,complet,Oui,
32,MSC-SLE,complet,Non,
33,PREFIX,vide,Non,
34,TEOREM,complet,Non,
35,CAMOVID,complet,Oui,
36,ITAC,complet,Non,
37,KAPKEY,complet,Non,
38,APL,vide,Non,
39,RECORDS,complet,Oui,
40,GREEN,complet,Oui,
41,KADIG01,vide,Non,
42,UPFRONT-MUD,complet,Non,
43,MARVEL,complet,Non,
44,ICE,complet,Non,
45,ETOLE,complet,Non,