nom_etude,TITLE,JUSTIFICATION,OBJECTIVE,DESIGN,INCLUSION CRITERIA,EXCLUSION CRITERIA,INTERVENTION,STATISTICS,DSMB,ACRONYM,INVESTIGATOR,NUMBER OF INCLUSIONS,SITES,FUNDING
OPTISAGE,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
CAALLF01,oui,oui,oui,oui,oui,oui,oui,oui,NON,NON,NON,oui,oui,oui
HAPLO-EMPTY,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
KAPVEC,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
FIBRAPLO,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
SONIMEL,oui,oui,oui,oui,oui,oui,NON,oui,oui,oui,oui,NON,NON,oui
DREPA-RIC,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
PARADISE,oui,NON,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
MARVEL,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
PIPAC,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
JAKAHDI,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
GRAALL-2014,NON,NON,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
METIMGAST,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
RUBI,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
MSC-AT-SSC,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
UVB,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
COMBINATION-LOCK01,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
INTORETAK,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
TRIBECA,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
MSC-SLE,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
PCL-2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
ITAC,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
FOCUS,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,NON,NON,oui
ICE,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
ETOLE,oui,oui,oui,oui,oui,oui,NON,oui,oui,oui,oui,oui,oui,oui
MAC-HAPLO-MUD,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
SHORTCUT,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
CAMOVID,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
GREEN,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
TEOREM,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
SALMA,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
ERYTHROSIM,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
EQUAALL01,oui,oui,oui,oui,oui,oui,NON,oui,NON,oui,oui,oui,oui,oui
EFRAIM-II,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
RECORDS,oui,oui,oui,oui,oui,oui,oui,oui,NON,oui,oui,NON,oui,oui
KAPKEY,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
UPFRONT-MUD,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
HAPLORESCUE,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui
FIRST,oui,oui,oui,oui,oui,oui,NON,oui,oui,oui,oui,oui,oui,oui
APARR,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui